epoch,train_loss,train_dice,train_iou,train_acc,val_loss,val_dice,val_iou,val_acc,lr
1,0.777244,0.339639,0.282845,0.913525,0.571277,0.402850,0.343365,0.965771,0.00010000
1,0.834813,0.319748,0.264920,0.908537,0.635252,0.388992,0.329501,0.955931,0.00010000
2,0.628652,0.410843,0.350929,0.947201,0.662491,0.513068,0.451196,0.914496,0.00010000
3,0.547125,0.451721,0.390114,0.953021,0.491557,0.574539,0.512853,0.967849,0.00010000
4,0.510578,0.499122,0.437202,0.962583,0.589626,0.574338,0.511450,0.938331,0.00010000
5,0.488638,0.534292,0.471942,0.965771,0.447423,0.603645,0.540523,0.979629,0.00010000
6,0.452958,0.615514,0.555207,0.967849,0.375157,0.552262,0.493284,0.977827,0.00010000
7,0.309572,0.670250,0.617834,0.972561,0.266931,0.690497,0.639945,0.980876,0.00010000
8,0.288698,0.683727,0.631937,0.970759,0.320931,0.710289,0.659389,0.949695,0.00010000
9,0.259514,0.705878,0.652964,0.974640,0.203572,0.739144,0.684952,0.987666,0.00010000
10,0.255409,0.704411,0.649825,0.976303,0.236042,0.693816,0.636316,0.984895,0.00010000
11,0.245384,0.711601,0.658287,0.980460,0.216276,0.733658,0.678938,0.984479,0.00010000
12,0.240941,0.715553,0.660868,0.978381,0.209452,0.736249,0.681084,0.987251,0.00010000
13,0.242159,0.708793,0.658796,0.981707,0.218376,0.734812,0.684605,0.984063,0.00010000
14,0.229947,0.711689,0.657003,0.982816,0.230243,0.699198,0.656438,0.987666,0.00010000
15,0.228768,0.719078,0.665530,0.982955,0.203039,0.725233,0.667669,0.985172,0.00010000
16,0.228975,0.718623,0.663508,0.983232,0.196278,0.732355,0.674865,0.990715,0.00010000
17,0.225653,0.715243,0.662032,0.983509,0.192939,0.731201,0.672991,0.992378,0.00010000
18,0.219015,0.721211,0.666040,0.984063,0.198899,0.732783,0.682892,0.996951,0.00010000
